ID,Description,Asset type,Status,Photo,Program Area,Coordinates,Record link,Stewardship,Associated partner,Garden Stewardship copy
1061B,,Rain Garden,Inactive,1061B.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768514400000/_wEFMRG4puG89SjoqTQL1w/JyuGQCIL35EE2RapDHdL8MjPIi9RibglKn0fZfE8aXct9laa1aGV5BIz5WwKIWet2fSVP6Wd5GznZbcawPQGmSRPJc7u-cFgBB0IwL8ABaDNQXuJtfGe9QQQF1DsbbdJW-P2fYKPHX-KY5AlRsjTGHEJhXBhiX-8UezI6TmWsmI/bBAXtpu5rqMCJH8criI1Bm3PVOChQcvS-s90sVk0ZY4),Flushing,"40°45'49""N 73°49'32""W",,"1061B on Tue 08/05,1061B on Thu 08/14,1061B on Tue 09/02,1061B on Tue 09/09,1061B on Tue 09/16,1061B on Tue 09/30,1061B on Tue 09/23,1061B on Tue 10/07,1061B on Wed 10/29,1061B on Sat 12/20",,
1060B,,Rain Garden,Inactive,1060B.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768514400000/cXY6X7BES74XhhfKDXdQPA/JtSlSu_1QMgQuZN2YEV2e-l1RRH2OPtvnj5-dZiZRNygNPi0iebAPFTcUZ1BjrhXh-0cDALDIng0Sc0oKhWTBqqC7laXvvNG0PKtLfN7GBgBFEDhOg_0M-zjq9rYslGJgK7l9K_Uj6RhzBSvDJF6t7y_WHiiwwf18VXQOT9Wk_g/p2QvlBFPQSjp2NZrQGDAbltwfuym_ALFKuy49DuOuD8),Flushing,"40°45'50""N 73°49'35""W",,"1060B on Tue 08/05,1060B on Thu 08/14,1060B on Tue 09/02,1060B on Tue 09/09,1060B on Tue 09/16,1060B on Tue 09/30,1060B on Tue 09/23,1060B on Tue 10/07,1060B on Tue 10/21,1060B on Wed 10/29,1060B on Sat 12/20",,
1060C,,Rain Garden,Inactive,1060C.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768514400000/9HXM50S3Lp7lPy-aptYAVQ/5fCRuotssuq2wh0xIKmLKqZoATmS7JbVbFh7NuI95WKBdO209DxCdZ5Wv8-grXKonwGKyO8DVS-XIVV9wRFNbGEk7rmJIUd4VeLi1Z-YvTvW0syUv3eGM-uKjV1kcUFwN2BnJB311XMufH11DkIT_h7UD9xn4Tt3GYUcpB2Wmhg/NujkbJpCLe25swTNkMNtyjIqLA5DOImudTnnm4db9Nw),Flushing,"40°45'51""N 73°49'34""W",,"1060C on Tue 08/05,1060C on Tue 08/05,1060C on Thu 08/14,1060C on Tue 09/02,1060C on Tue 09/09,1060C on Tue 09/16,1060C on Tue 09/30,1060C on Tue 09/23,1060C on Tue 10/07,1060C on Tue 10/21,1060C on Wed 10/29,1060C on Sat 12/20",,
1062H,,Rain Garden,Inactive,1062H.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768514400000/3Sa-DWma5m8sBOzYjRqW9w/4Z-6vp_89WTxDrnMUiA4NUsaJVhlwMwSBGBV9N4LbmE2mLORD6y_Qt6YVqXJuBEQItFFZo75leuDUc9fb_dLh-zLizw7GgRmE_8G2CsduFHY90wP56GswXyL2t5tPugrU_PvfpAK-wHcEKfKOlqKPBvrsCN1t3W_TFOZWZyFw_I/FdT4EKzD4ZWscqGNX8LynumRNcg4A4zdLx7OjHOUQdA),Flushing,"40°45'51""N 73°49'36""W",,"1062H on Tue 08/05,1062H on Thu 08/14,1062H on Tue 09/02,1062H on Tue 09/09,1062H on Tue 09/30,1062H on Tue 09/30,1062H on Tue 09/23,1062H on Tue 10/07,1062H on Tue 10/21",,
1062A,,Rain Garden,Inactive,1062A.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768514400000/LBcBWwS6158IDT7wPFUj-w/tQp5mFTiG_rzZDJizzk8kq86QXBaG9KRMsw2oO0Uff4R9Sq_oJhFl_LFLurLAR4QmaBniuPwvXr30jNdT6mNDogRORLDtiEmvLz9BibyKdrM8j8NwEA_dEPXPbDrAY8aAtBGhLrXEiC_bE_d9-Ww2cLR5S_e4MrkZe4gfwrzrh0/NPctuJZlMqJ4vAnwMT1CDkQPxykoV-Zx6c27KYgyR5A),Flushing,"40°45'50""N 73°49'40""W",,"1062A on Thu 08/14,1062A on Tue 09/02,1062A on Tue 09/09,1062A on Tue 09/30,1062A on Tue 09/23,1062A on Tue 10/07,1062A on Tue 10/21",,
1062B,,Rain Garden,Inactive,1062B.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768514400000/0_uZwJ43iZHixT48UpV_RQ/ZWKM-oHRwiscV5Wm5miv_lyDI89vsuZXT8UAAdpmowEioTGVDNNCeyQ_9mAFitPIBKAfltBlGVujQjSX4Q4AcPGEPEB2Qby2SI_Td6Lum3xHcTHPSHHlw0xqSE5LUnnHJjlKfCH4sg1qhsTtiI41QrKxzEAwi9PAgDYxN55jg2g/oqDzucLbPrr2sMk2GI-ShuwavkBVwDDqynyea6k-ujw),Flushing,"40°45'50""N 73°49'40""W",,"1062B on Tue 08/05,1062B on Thu 08/14,1062B on Tue 09/02,1062B on Tue 09/09,1062B on Tue 09/30,1062B on Tue 09/23,1062B on Tue 10/07,1062B on Tue 10/21",,
1206D,,Rain Garden,Inactive,1206D.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768514400000/CZ1PyrRmUzZZhsyahkzJ2w/yAGRLSQz_1pTaGGeeuGzONJR-gn-xiSsZbSvM1NkE7Ev6jN7tUXlQ1lqR3oVDrNU9ZuqW2Ph3w2BIdmhzlvMtdeI_WX3EYy45dlujPytke_t4h9FgHL1e_VY4vp73NHFvmRz6PKKFpaKDuYh6rBEsL9FzaZvHN1ktteWdeQ03HY/UXuGcCpfPjWUPJWK9uSqxqStFwgMuntEFzsDKt8vjlE),Flushing,"40°45'53""N 73°49'40""W",,"1206D on Thu 08/14,1206D on Tue 09/02,1206D on Tue 09/09,1206D on Tue 09/30,1206D on Tue 10/21,1206D on Sat 12/20",,
1464A,,Rain Garden,Inactive,1464A.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768514400000/q7TokHHIbwEOV3vY8phfDw/LEjEW_NPcmncx639RGTH0FvxsNHs0hoGH46WqpySvMTNr_OAJQaHXFu6UeNhEaHyMnWY-vvr4NmExeLw6IWxcl_QgkZsjUNSU-0SigpTfQbxoX9DzlNHXFermIqIeXi1kAtm4KqOgAtvv80spytA7mCXSorbHYL2MbdmEpEJxMc/gVRANyzwPSoXO5i0-PYQAyZsAtulHuKKvwmhVCxQ9p8),Flushing,"40°45'55""N 73°49'39""W",,"1464A on Thu 08/14,1464A on Tue 09/02,1464A on Tue 09/09,1464A on Tue 09/30,1464A on Tue 10/21,1464A on Wed 10/29,1464A on Sat 12/20",,
1464B,,Rain Garden,Inactive,1464B.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1768514400000/FZvXatKyKXdfNRuzfJmnxg/EwE5znDWDPT2GPAfZTSk-N4fCEh-G2RpEcYXuFTfHcvOQVV6Ivq_plVd_oEZTbJgQ7r5coqawS_rVrAGUhEhkQGE1zQi2J3YOOcG_DwOyu6Xp4lWZJffaGh4PrdlRjC5Dfo46SnKmYQp_b4buTVvnbr4-WtOd6taaCfPoUnLToU/fy3L0lWbKGCjJPyGvhXY1bY4AGEhXqYFDgpox8uaWkc),Flushing,"40°45'55""N 73°49'39""W",,"1464B on Thu 08/14,1464B on Tue 09/02,1464B on Tue 09/09,1464B on Tue 09/30,1464B on Tue 10/21,1464B on Wed 10/29,1464B on Sat 12/20",,
347A,,Rain Garden,Planned,,Flushing,"40°45'26""N 73°50'02""W",,,,
1052A,,Rain Garden,Planned,,Flushing,"40°45'41""N 73°49'36""W",,,,
1052C,,Rain Garden,Planned,,Flushing,"40°45'42""N 73°49'35""W",,,,
1052D,,Rain Garden,Planned,,Flushing,"40°45'42""N 73°49'35""W",,,,
1052F,,Rain Garden,Planned,,Flushing,"40°45'42""N 73°49'34""W",,,,
344A,,Rain Garden,Planned,,Flushing,"40°45'31""N 73°49'53""W",,,,
1045A,,Rain Garden,Planned,,Flushing,"40°45'39""N 73°49'45""W",,,,
208A,,Rain Garden,Planned,,Flushing,"40°45'38""N 73°49'36""W",,,,
1048A,,Rain Garden,Planned,,Flushing,"40°45'38""N 73°49'36""W",,,,
1066C,,Rain Garden,Planned,,Flushing,"40°45'44""N 73°49'28""W",,,,
2164A,,Rain Garden,Irregular stewardship,Screenshot 2025-11-20 at 12.15.01 PM.png (https://v5.airtableusercontent.com/v3/u/49/49/1768514400000/_bzN4KRZX4UU3mZZkVXi6g/W3sqSIqAcgDPjOkcXapsiJ28uD_8_FZ7bliwNKoytpr10vEP649LjEMkjBYZloPi6ZVeTrN0XV8Iw58jfJPJONvtc6tp90Qf0flXWBMjU640JTeaqI96L4bAlQjzSBfldDHzJL12Q1a4YrRU0sjaTyRXqDWGSYnXU_gTb1keF0QdnobKep2SwXyBzZm6BVE6/wwT-_tmdvN6om4OB8JjqJzQlLVL-M9_zNXkDNgoVWlM),Flushing,"40°44'58""N 73°49'35""W",,"2164A on Thu 11/06,2164A on Thu 12/11",QBG,
2167-1E,,Rain Garden,Irregular stewardship,Screenshot 2025-11-20 at 12.16.11 PM.png (https://v5.airtableusercontent.com/v3/u/49/49/1768514400000/y0LLWzuORxLdAzTZcFjprA/1FBMAz_O-MHnJeyYvDQfTxEcgqA8FjPAI4qHwNLlPYyEaINYIkjCFtApeEYxNoNtNfKRip6PUePeltv0CwAgnkPvLVP3ZnEFPyytQ-Oi64P5Yk66W1c7fwDPB-3MK_GfM1hIsLIgwyzu7DVxOCmjLzFt3J1u3FTdKn1XFEaeMqnqRZfaECkQyIebPTGFAlMM/4vu30if_-8zKPqS08n2hvrRGkjDQgSAajjGOuk_FBus),Flushing,"40°44'58.6""N 73°49'42.5""W",,"2167-1E on Thu 11/06,2167-1E on Thu 12/11",QBG,
2172N,,Rain Garden,Irregular stewardship,"Screenshot 2025-11-20 at 12.17.07 PM.png (https://v5.airtableusercontent.com/v3/u/49/49/1768514400000/TFGPcdyAGpCUODrdGv_vJw/ZM1t6UtfO-J6O30jM46KJUCO49iC3XiEp1iIoSHpS64FgwajEMXE4Kh2y2wLmJKWkB6ql7z8miJu1RWo2XFtxa4xWYknXmLiaDnGlmaCaIXv_7kx4zWRnTLB7kGidgeWE2dqc74pxBIAya8aIYeo4jkIgGhTa57dIEBwnQyvPmdrxW9bDKq-r8Hu3AmcVeio/P-1rEnPfEm-C1IrOhOAmejcfGNFwAhkqpxh0AFLEqjI),Screenshot 2025-11-20 at 12.17.45 PM.png (https://v5.airtableusercontent.com/v3/u/49/49/1768514400000/TpaFBG52HZmU07_K2o8QEw/GCW637ziNZUnAinDt0GZA094rxdk6oUcX6uwh0NovO_f64io8XEp8T7WSxeAa93w9AMPfVchbLI0F5z-UQko8aBmX1a_AAxoYrBDN-cyGAyFUdhgCCjkdxfta7nwd7i4eSkIq6dT8jHNxku9Sxf72l1Mw17RoJRBordBy65KX_KTG9ccvIARlL8rNz1zNWl3/NkvXH8wQILWZGDDeG115yQtnM6IHOZpa_L4j776tHEA)",Flushing,"40°44'56.3""N 73°49'51.3""W",,"2172N on Thu 11/06,2172N on Thu 12/11",QBG,
2172M,,Rain Garden,Irregular stewardship,"Screenshot 2025-11-20 at 12.22.26 PM.png (https://v5.airtableusercontent.com/v3/u/49/49/1768514400000/uhxq68o98VaQiTTFTeIJYA/LqeQ1fngbkmXg5AqNCYeELRjH8WCYU0ALAGJVexywAbK8xIRSWPHWPBgqVrfgPsf-mu7bqNTDJ-L1kA4_t3B21ruqk0cHi_u5R7y5afkXBN3EdX5tbL3uqx5qFEauhL_FqbMolN2YkTJhpCJLb3QqiOIq1icC_MXoYscAexl4RshCYuOdZpPKSzceQs38RdA/vT_vES3XZktL6eXv1HmqBmvB6EFK2R2J2ou7FDKX-1M),Screenshot 2025-11-20 at 12.23.42 PM.png (https://v5.airtableusercontent.com/v3/u/49/49/1768514400000/qRuSrHi11aENoMuTIvmV-g/cVwgFKHdn5v69uemDAfv1wVSYqHR7SZhYzminv1R7ELURspuD39m-YmoRKC0ktQqB1EWiMJJc3hDobSqO_o_871D-oq6Dm9oILuSAmlWKTU3VzSi6_UWIhygGR7aKjy6uanKxC5Jw4hD7F4SO_3bDupfU1cNjsqdy1Q70RfNVD5rb6p3qiRytfWMZtiKlCKC/PFrJH_BHm5YHF8dcHeRc8Y3QTYCAVbCqye4LxBTP3Q8)",Flushing,"40°44'56.3""N 73°49'51.3""W",,"2172M on Thu 11/06,2172M on Thu 12/11",QBG,
2172L,,Rain Garden,Irregular stewardship,"Screenshot 2025-11-20 at 12.39.16 PM.png (https://v5.airtableusercontent.com/v3/u/49/49/1768514400000/-9cuYkrT-5UvL1YQxnY61Q/nfMVd_qeAMg91NkJj680o1ryBVCe7NqwqkWM7i9aVhH5biTfTQPXTzodgdUzgHexDrAsHj0v408iewcazOWrvTEMdydl3r5XPRel-raQsdI9XKVWGOSzVIRGYfgT_EUVruuQynmPgJQEGVLeaH-TEP0tqZ7031WxVXKHB1iXVin_K9IDi6rTMETwZ9cB7JgF/8qA4FFAfduNebboHYidINnmVBqaDZjtdj6eO5mIlNic),Screenshot 2025-11-20 at 12.23.42 PM.png (https://v5.airtableusercontent.com/v3/u/49/49/1768514400000/Uz2QNKQjXDroAK4mNx-K4w/2PMKG4gy40PoaYhFCXjOIBVAoAB2Vmpvze_aKRQucIEYwQPH8SW_NKJN2uVe_SlGCWtU2DcCedQYU09bRKz3N25IZYHakdMIfF7YauklsXQ4UEArfnMcbPnWRwzoQSkjJW6WSvb1kg71PIfSnex-8daAA95ZGpGO4wrYYTjLhwe7oMqmjkEKzjH0XhR9uZ8v/uVPxosL5fepvII-dmk_Qkuaag6h5EmkWwRBzJWWikTg)",Flushing,"40°44'56.3""N 73°49'51.3""W",,"2172L on Thu 11/06,2172L on Thu 12/11",QBG,
2172H,,Rain Garden,Irregular stewardship,"Screenshot 2025-11-20 at 12.40.19 PM.png (https://v5.airtableusercontent.com/v3/u/49/49/1768514400000/EVwu_1KnA_DIxxSz9v0hCw/qP5vamaflTFBUkKUaryQ8egnJqTGl7rSt2nmjvRnRK289iogy7UI99wKkltDkT4p9D10rbwlPSee3hF_sFmtrYs7j_M41lXjnNkXcEjgMH8G9RbvZB-_KOWfy65fMUZnzu9ZyFr3YQFOXwUMmosEYpYbvRlHkBBe-Hoc-FUEWFm5FjGBWW930j9OMQ2gKH01/6yB86QjmqGjXK6eyTa7EQ3Kw3Kw-MjsbFKsO_yNW_CI),Screenshot 2025-11-20 at 12.40.52 PM.png (https://v5.airtableusercontent.com/v3/u/49/49/1768514400000/nQl8lUj8q1QrdlsYlpuBtQ/fa50B_xY8LYiyXn6Bb_wVn2n8gm2bX2K-w-lOyVGRoAZVxwGHsimPDqqkc38T8aqlmXSGo7BWdcJP_jjcueD4yCl47NnP74xtJzPuCJEuOr-l9XHxzWq_ngYngbdGuoAfVonIcQIlz69mFVnxTFLhshEd7IjFpPeLUOL_4K1-P5XVZKzKnr-6VWlNoQyQKka/rG_7YSPhd3-hpC4ng_dn5lW6jLquUcJWEdQvyvuZYCc)",Flushing,"40°44'55""N 73°49'52""W",,2172H on Thu 11/06,QBG,
2172C,,Rain Garden,Irregular stewardship,"Screenshot 2025-11-20 at 12.43.15 PM.png (https://v5.airtableusercontent.com/v3/u/49/49/1768514400000/9opwNSfnCpqQBjyv7-nsvA/HNu6vFqrsArMoLYTfNr53UajXHE9Rqla6pwqsPeXDZ1ofOK9W6nCkSnmgk85iiaoj0JNnnqOXAmuVvft48RD0sUGmbRlPH7ocJ_YVkUWECA9bQ90LRESBrebQL4Hu05nan5bCQNxm1mlU-8a4nQDtrH__Wfkq2V31YsFZW-Cl3N-wpzi2FNmzD3pu8-lbCl9/7-9yZ9s0bqn2yDc55TFM2O4P-46iT-Ixd-BN5cUlf4M),Screenshot 2025-11-20 at 12.41.22 PM.png (https://v5.airtableusercontent.com/v3/u/49/49/1768514400000/HKcQbnrMS2auyRTNwR7lUQ/Vr1nN7VRK7vA9QNHWQ4KWdUmYWVLQA0Zznhpmd1fYwpcTc1QzCY7G3u5xKZgsbnUuxmtR5_6oFLjBL4u_io2q4A5yVldPz3Fz8XY40EHvkyA4axdhVcwIIGb7qMFqCztCYMq0Pn6E5x2valwylRwJ1RrQXcW3Nhg-xQMrg8TMp7YbRHoxTMiUzHf9Z_I2Yos/yTe2j9px_ttKUZdfVqpMC2rh5vtoEKVS26UFA-Mb2o0)",Flushing,"40°44'54.1""N 73°49'52.8""W",,"2172C on Thu 11/20,2172C on Thu 12/04",QBG,
2172B,,Rain Garden,Irregular stewardship,"Screenshot 2025-11-20 at 12.44.02 PM.png (https://v5.airtableusercontent.com/v3/u/49/49/1768514400000/qJTbA9fYIrUGRI26ZNNHkw/Qw6YcSCrglhmUj_BUruoZ_Z6Nk1bTiYQ8NBM8W9tG886xQ1Nis-LTJq8nUF0vvdSsvQT9EDkrxK0NtatK1fLcqy_7R-D7sUbv3kDqlT7Jjzgu1y9EXM2Iaq8z9ymydGaLpZ_szPn72aEb08f_76f4tnqat3u4VvURNNpqMNbp5ho-51KdxKj7BGEmt-5QwHg/L80YFAe0GNNzpCUOotQ_a9VR8s6irbx3KL7Ft2MJ7R8),Screenshot 2025-11-20 at 12.41.22 PM.png (https://v5.airtableusercontent.com/v3/u/49/49/1768514400000/4nopm90x-glWme5OD9P0eA/36BhR2N9lrLMj724tlNIrIyVMH0a00l7jBmvALPKu80-Aq6IKYEFxg4JLoqhROUXHqBT2yKDS6XNCt8XB2WXJj2_z0Ssvtw0Qs0g3t4eCslJxZFogdc1kWDu_58aR0_dcWeZ8Ys23z9V3QIXKI92Wwv_o-l_1uNJBFp-IsiouQtOqU98VK27r2ROXf8CV3B9/WuNlKAgUJnm6fslnVZDSs9esoknwse-tC97bbjRdpRw)",Flushing,"40°44'54.1""N 73°49'52.8""W",,"2172B on Thu 11/20,2172B on Thu 12/04,2172B on Thu 11/06",QBG,
